Parametro nao existe;Fitano(C20);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Heneicosano(C21);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Hentriacontano(C31);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Heptacosano(C27);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Heptadecano(C17);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Heptatriacontano(C37);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Hexacosano(C26);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Hexadecano(C16);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Hexatriacontano(C36);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;m+p-Xileno;//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nit. Orgnico;//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nitrognio Amoniacal ;//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nonacosano(C29);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nonadecano(C19);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nonano(C9);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Nonatriacontano(C39);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Octacosano(C28);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Octadecano(C18);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Octano(C8);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Octatriacontano(C38);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;o-Xileno;//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Pentacosano(C25);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Pentadecano(C15);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Pentatriacontano(C35);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Pristano(C19);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Tetracontano(C40);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Tetracosano(C24);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Tetradecano(C14);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Tetratriacontano(C34);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Triacontano(C30);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
Parametro nao existe;Tricosano(C23);//brandt.local/arquivos/Users/Area_Tecnica/PROJETO CEMIG\IGARAPE UTE UT\RELATORIO\2015\AGOSTO 2015\SUPERFICIAIS\IG LI01.XLS;
